ACCOUNTID,METODO_DE_PAGO,FECHA_COMPRA,SUCURSAL,DESCUENTO,MONTO_PAGADO,TIPO_ARTICULO,CANTIDAD_ARTICULO,MARGEN,SECTOR,VALOR_ARTICULO
1091,EFECTIVO,2019-10-28,12757,0,37300,3. Calidad Alta,1,4090,12,37300
2702,EFECTIVO,2019-11-03,2753,2300,39500,3. Calidad Alta,1,6220,13,41800
2702,EFECTIVO,2019-11-03,2753,3500,114600,4. Calidad Premium,1,11550,13,118100
2707,EFECTIVO,2019-11-03,10823,3000,122300,4. Calidad Premium,1,12280,2,125300
2718,EFECTIVO,2019-11-03,12483,2000,34100,3. Calidad Alta,1,7200,8,36100
2718,EFECTIVO,2019-11-03,12483,2000,46200,3. Calidad Alta,1,9750,8,48200
2774,EFECTIVO,2019-11-03,11783,1500,27600,2. Calidad Media,1,5320,5,29100
2748,EFECTIVO,2019-11-03,11703,3800,118600,4. Calidad Premium,1,8110,5,122400
2754,EFECTIVO,2019-11-03,12483,1500,30300,2. Calidad Media,1,5990,8,31800
2757,EFECTIVO,2019-11-03,12483,2000,47600,3. Calidad Alta,1,10050,8,49600
2771,EFECTIVO,2019-11-03,12611,3000,124600,4. Calidad Premium,1,11270,9,127600
2779,EFECTIVO,2019-11-03,10920,1500,45600,2. Calidad Media,1,9580,2,47100
2782,EFECTIVO,2019-11-03,12484,2000,49200,3. Calidad Alta,1,10390,8,51200
2822,EFECTIVO,2019-11-04,10918,3000,114900,4. Calidad Premium,1,12040,2,117900
2834,EFECTIVO,2019-11-04,12438,2000,52000,3. Calidad Alta,1,10980,7,54000
2858,EFECTIVO,2019-11-04,12483,1500,31400,2. Calidad Media,1,5300,8,32900
2875,EFECTIVO,2019-11-04,12439,1500,37500,2. Calidad Media,1,7410,7,39000
2901,EFECTIVO,2019-11-04,12484,1500,34400,2. Calidad Media,1,6800,8,35900
2901,EFECTIVO,2019-11-04,12484,1500,31200,2. Calidad Media,1,6170,8,32700
2895,EFECTIVO,2019-11-04,12438,2000,41200,3. Calidad Alta,1,8700,7,43200
2895,EFECTIVO,2019-11-04,12438,2000,43500,3. Calidad Alta,1,9180,7,45500
2890,EFECTIVO,2019-11-04,12757,1500,32400,2. Calidad Media,1,6510,12,33900
2928,EFECTIVO,2019-11-04,10922,2000,52300,3. Calidad Alta,1,7960,3,54300
2929,EFECTIVO,2019-11-04,12484,2000,42600,3. Calidad Alta,1,8990,8,44600
2990,EFECTIVO,2019-11-04,12439,2000,48500,3. Calidad Alta,1,10240,7,50500
2992,EFECTIVO,2019-11-04,5114,3500,40800,2. Calidad Media,1,7780,17,44300
2992,EFECTIVO,2019-11-04,5114,3500,47300,3. Calidad Alta,1,7930,17,50800
2994,EFECTIVO,2019-11-04,10920,1500,37600,2. Calidad Media,1,7900,2,39100
2997,EFECTIVO,2019-11-04,12483,2000,47200,3. Calidad Alta,1,9970,8,49200
3001,EFECTIVO,2019-11-04,11783,2000,40300,3. Calidad Alta,1,5900,5,42300
